optionlist: ['verbosity', 'print_colorized', 'logfile', 'version', 'config', 'datadir', 'user_data_dir']
optionlist: ['strategy', 'strategy_path', 'recursive_strategy_search', 'freqaimodel', 'freqaimodel_path']
optionlist: ['version_main']
optionlist: ['db_url', 'sd_notify', 'dry_run', 'dry_run_wallet', 'fee']
optionlist: ['user_data_dir', 'reset']
optionlist: ['config']
optionlist: ['user_data_dir', 'config', 'show_sensitive']
optionlist: ['user_data_dir', 'strategy', 'strategy_path', 'template']
optionlist: ['pairs', 'pairs_file', 'days', 'new_pairs_days', 'include_inactive', 'no_parallel_download', 'timerange', 'download_trades', 'convert_trades', 'exchange', 'timeframes', 'erase', 'dataformat_ohlcv', 'dataformat_trades', 'trading_mode', 'prepend_data']
optionlist: ['pairs', 'format_from', 'format_to', 'erase', 'exchange', 'timeframes', 'trading_mode', 'candle_types']
optionlist: ['pairs', 'format_from_trades', 'format_to', 'erase', 'exchange']
optionlist: ['pairs', 'timeframes', 'exchange', 'dataformat_ohlcv', 'dataformat_trades', 'trading_mode']
optionlist: ['exchange', 'dataformat_ohlcv', 'dataformat_trades', 'trades', 'pairs', 'trading_mode', 'show_timerange']
optionlist: ['timeframe', 'timerange', 'dataformat_ohlcv', 'max_open_trades', 'stake_amount', 'fee', 'pairs', 'position_stacking', 'enable_protections', 'dry_run_wallet', 'timeframe_detail', 'strategy_list', 'export', 'exportfilename', 'exportdirectory', 'backtest_breakdown', 'backtest_cache', 'freqai_backtest_live_models', 'backtest_notes']
optionlist: ['exportfilename', 'exportdirectory', 'backtest_show_pair_list', 'backtest_breakdown']
optionlist: ['exportfilename', 'exportdirectory', 'analysis_groups', 'enter_reason_list', 'exit_reason_list', 'indicator_list', 'entry_only', 'exit_only', 'timerange', 'analysis_rejected', 'analysis_to_csv', 'analysis_csv_path']
optionlist: ['timeframe', 'timerange', 'dataformat_ohlcv', 'max_open_trades', 'stake_amount', 'fee', 'pairs']
optionlist: ['timeframe', 'timerange', 'dataformat_ohlcv', 'max_open_trades', 'stake_amount', 'fee', 'pairs', 'hyperopt', 'hyperopt_path', 'position_stacking', 'enable_protections', 'dry_run_wallet', 'timeframe_detail', 'epochs', 'spaces', 'print_all', 'print_json', 'hyperopt_jobs', 'hyperopt_random_state', 'hyperopt_min_trades', 'hyperopt_loss', 'disableparamexport', 'hyperopt_ignore_missing_space', 'analyze_per_epoch', 'early_stop']
optionlist: ['hyperopt_list_best', 'hyperopt_list_profitable', 'hyperopt_list_min_trades', 'hyperopt_list_max_trades', 'hyperopt_list_min_avg_time', 'hyperopt_list_max_avg_time', 'hyperopt_list_min_avg_profit', 'hyperopt_list_max_avg_profit', 'hyperopt_list_min_total_profit', 'hyperopt_list_max_total_profit', 'hyperopt_list_min_objective', 'hyperopt_list_max_objective', 'print_json', 'hyperopt_list_no_details', 'hyperoptexportfilename', 'export_csv']
optionlist: ['hyperopt_list_best', 'hyperopt_list_profitable', 'hyperopt_show_index', 'print_json', 'hyperoptexportfilename', 'hyperopt_show_no_header', 'disableparamexport', 'backtest_breakdown']
optionlist: ['print_one_column', 'list_exchanges_all', 'trading_mode', 'dex_exchanges']
optionlist: ['exchange', 'print_list', 'list_pairs_print_json', 'print_one_column', 'print_csv', 'base_currencies', 'quote_currencies', 'list_pairs_all', 'trading_mode']
optionlist: ['exchange', 'print_list', 'list_pairs_print_json', 'print_one_column', 'print_csv', 'base_currencies', 'quote_currencies', 'list_pairs_all', 'trading_mode']
optionlist: ['strategy_path', 'print_one_column', 'recursive_strategy_search']
optionlist: ['hyperopt_path', 'print_one_column']
optionlist: ['freqaimodel_path', 'print_one_column']
optionlist: ['exchange', 'print_one_column']
optionlist: ['db_url', 'trade_ids', 'print_json']
optionlist: ['user_data_dir', 'verbosity', 'config', 'quote_currencies', 'print_one_column', 'list_pairs_print_json', 'exchange']
optionlist: ['db_url', 'db_url_from']
optionlist: ['erase_ui_only', 'ui_prerelease', 'ui_version']
optionlist: ['pairs', 'indicators1', 'indicators2', 'plot_limit', 'db_url', 'trade_source', 'export', 'exportfilename', 'timerange', 'timeframe', 'no_trades']
optionlist: ['pairs', 'timerange', 'export', 'exportfilename', 'db_url', 'trade_source', 'timeframe', 'plot_auto_open']
optionlist: []
optionlist: ['strategy_list', 'strategy_path', 'recursive_strategy_search']
optionlist: ['timeframe', 'timerange', 'dataformat_ohlcv', 'max_open_trades', 'stake_amount', 'fee', 'pairs', 'enable_protections', 'dry_run_wallet', 'timeframe_detail', 'strategy_list', 'export', 'exportfilename', 'exportdirectory', 'freqai_backtest_live_models', 'minimum_trade_amount', 'targeted_trade_amount', 'lookahead_analysis_exportfilename', 'lookahead_allow_limit_orders']
optionlist: ['timeframe', 'timerange', 'dataformat_ohlcv', 'pairs', 'startup_candle']
Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage,Min Stake
1000000BOBUSDT,1000000BOB/USDT:USDT,1000000BOB,USDT,True,,,Future,50.0,5.25
1000000MOGUSDT,1000000MOG/USDT:USDT,1000000MOG,USDT,True,,,Future,75.0,5.25
1000BONKUSDC,1000BONK/USDC:USDC,1000BONK,USDC,True,,,Future,75.0,5.25
1000BONKUSDT,1000BONK/USDT:USDT,1000BONK,USDT,True,,,Future,75.0,5.25
1000CATFDUSD,1000CAT/FDUSD,1000CAT,FDUSD,True,Spot,,,1.0,1.05
1000CATTRY,1000CAT/TRY,1000CAT,TRY,True,Spot,,,1.0,10.5
1000CATUSDC,1000CAT/USDC,1000CAT,USDC,True,Spot,Margin,,1.0,1.05
1000CATUSDT,1000CAT/USDT,1000CAT,USDT,True,Spot,Margin,,1.0,1.05
1000CATUSDT,1000CAT/USDT:USDT,1000CAT,USDT,True,,,Future,75.0,5.25
1000CHEEMSUSDC,1000CHEEMS/USDC,1000CHEEMS,USDC,True,Spot,Margin,,1.0,1.05
1000CHEEMSUSDT,1000CHEEMS/USDT,1000CHEEMS,USDT,True,Spot,Margin,,1.0,1.05
1000CHEEMSUSDT,1000CHEEMS/USDT:USDT,1000CHEEMS,USDT,True,,,Future,75.0,5.25
1000FLOKIUSDT,1000FLOKI/USDT:USDT,1000FLOKI,USDT,True,,,Future,75.0,5.25
1000LUNCUSDT,1000LUNC/USDT:USDT,1000LUNC,USDT,True,,,Future,75.0,5.25
1000PEPEUSDC,1000PEPE/USDC:USDC,1000PEPE,USDC,True,,,Future,50.0,5.25
1000PEPEUSDT,1000PEPE/USDT:USDT,1000PEPE,USDT,True,,,Future,75.0,5.25
1000RATSUSDT,1000RATS/USDT:USDT,1000RATS,USDT,True,,,Future,25.0,5.25
1000SATSFDUSD,1000SATS/FDUSD,1000SATS,FDUSD,True,Spot,Margin,,1.0,1.05
1000SATSTRY,1000SATS/TRY,1000SATS,TRY,True,Spot,,,1.0,10.5
1000SATSUSDC,1000SATS/USDC,1000SATS,USDC,True,Spot,Margin,,1.0,1.05
1000SATSUSDT,1000SATS/USDT,1000SATS,USDT,True,Spot,Margin,,1.0,1.05
1000SATSUSDT,1000SATS/USDT:USDT,1000SATS,USDT,True,,,Future,75.0,5.25
1000SHIBUSDC,1000SHIB/USDC:USDC,1000SHIB,USDC,True,,,Future,50.0,5.25
1000SHIBUSDT,1000SHIB/USDT:USDT,1000SHIB,USDT,True,,,Future,75.0,5.25
1000WHYUSDT,1000WHY/USDT:USDT,1000WHY,USDT,True,,,Future,25.0,5.25
1000XUSDT,1000X/USDT:USDT,1000X,USDT,True,,,Future,50.0,5.25
1000XECUSDT,1000XEC/USDT:USDT,1000XEC,USDT,True,,,Future,75.0,5.25
1INCHBTC,1INCH/BTC,1INCH,BTC,True,Spot,Margin,,1.0,0.000105
1INCHUSDT,1INCH/USDT,1INCH,USDT,True,Spot,Margin,,1.0,5.25
1INCHUSDT,1INCH/USDT:USDT,1INCH,USDT,True,,,Future,75.0,5.25
1MBABYDOGEFDUSD,1MBABYDOGE/FDUSD,1MBABYDOGE,FDUSD,True,Spot,,,1.0,1.05
1MBABYDOGETRY,1MBABYDOGE/TRY,1MBABYDOGE,TRY,True,Spot,,,1.0,10.5
1MBABYDOGEUSDC,1MBABYDOGE/USDC,1MBABYDOGE,USDC,True,Spot,Margin,,1.0,1.05
1MBABYDOGEUSDT,1MBABYDOGE/USDT,1MBABYDOGE,USDT,True,Spot,Margin,,1.0,1.05
1MBABYDOGEUSDT,1MBABYDOGE/USDT:USDT,1MBABYDOGE,USDT,True,,,Future,75.0,5.25
ABTC,A/BTC,A,BTC,True,Spot,,,1.0,0.000105
AETH,A/ETH,A,ETH,True,Spot,,,1.0,0.00105
AFDUSD,A/FDUSD,A,FDUSD,True,Spot,,,1.0,5.25
ATRY,A/TRY,A,TRY,True,Spot,,,1.0,10.5
AUSDC,A/USDC,A,USDC,True,Spot,Margin,,1.0,5.25
AUSDT,A/USDT,A,USDT,True,Spot,Margin,,1.0,5.25
AUSDT,A/USDT:USDT,A,USDT,True,,,Future,75.0,5.25
A2ZUSDC,A2Z/USDC,A2Z,USDC,True,Spot,Margin,,1.0,5.25
A2ZUSDT,A2Z/USDT,A2Z,USDT,True,Spot,Margin,,1.0,5.25
A2ZUSDT,A2Z/USDT:USDT,A2Z,USDT,True,,,Future,75.0,5.25
AAVEBTC,AAVE/BTC,AAVE,BTC,True,Spot,Margin,,1.0,0.000105
AAVEETH,AAVE/ETH,AAVE,ETH,True,Spot,Margin,,1.0,0.00105
AAVEFDUSD,AAVE/FDUSD,AAVE,FDUSD,True,Spot,,,1.0,5.25
AAVETRY,AAVE/TRY,AAVE,TRY,True,Spot,,,1.0,10.5
AAVEUSD_PERP,AAVE/USD:AAVE,AAVE,USD,True,,,,1.0,0.0
