strategy,pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,entry_order_amount,entry_order_price,entry_order_cost,entry_order_timestamp,exit_order_amount,exit_order_price,exit_order_cost,exit_order_timestamp,exit_order_tag
Strategy001,DOGE/USDT,9.83434,9.83434,46,2025-08-19 22:00:00+00:00,2025-08-20 15:05:00+00:00,0.21379,0.216358048,0.001,0.001,1025,0.00999001,0.0983434,roi,0.19242,-0.1,0.19242,-0.1,0.20747,0.21707,FALSE,,1,FALSE,2025/8/19 22:00,2025/8/20 15:05,0,46,0.21379,9.84417434,2025/8/19 22:00,46,0.216358048,9.96242268,2025/8/20 15:05,roi
Strategy001,DOGE/USDT,9.94934,9.94934,46,2025-08-20 15:15:00+00:00,2025-08-20 17:00:00+00:00,0.21629,0.218888078,0.001,0.001,105,0.00999001,0.0994934,roi,0.19467,-0.1,0.19467,-0.1,0.21439,0.21901,FALSE,,1,FALSE,2025/8/20 15:15,2025/8/20 17:00,0,46,0.21629,9.95928934,2025/8/20 15:15,46,0.218888078,10.07892044,2025/8/20 17:00,roi
Strategy001,DOGE/USDT,9.834,9.834,44,2025-08-21 03:10:00+00:00,2025-08-22 14:10:00+00:00,0.2235,0.226184685,0.001,0.001,2100,0.00999001,0.09834,roi,0.20115,-0.1,0.20115,-0.1,0.20828,0.22711,FALSE,,1,FALSE,2025/8/21 3:10,2025/8/22 14:10,0,44,0.2235,9.843834,2025/8/21 3:10,44,0.226184685,9.962078252,2025/8/22 14:10,roi
Strategy001,DOGE/USDT,9.96282,9.96282,42,2025-08-23 05:25:00+00:00,2025-08-24 18:30:00+00:00,0.23721,0.240059369,0.001,0.001,2225,0.00999001,0.0996282,roi,0.21349,-0.1,0.21349,-0.1,0.22826,0.24011,FALSE,,1,FALSE,2025/8/23 5:25,2025/8/24 18:30,0,42,0.23721,9.97278282,2025/8/23 5:25,42,0.240059369,10.09257601,2025/8/24 18:30,roi
Strategy001,DOGE/USDT,10.01986,10.01986,43,2025-08-25 02:40:00+00:00,2025-08-25 20:30:00+00:00,0.23302,0.20972,0.001,0.001,1070,-0.101789636,-1.02093782,stop_loss,0.20972,-0.1,0.20972,-0.1,0.20708,0.23459,FALSE,,1,FALSE,2025/8/25 2:40,2025/8/25 20:30,0,43,0.23302,10.02987986,2025/8/25 2:40,43,0.20972,9.02697796,2025/8/25 20:30,stop_loss
Strategy001,DOGE/USDT,9.91559,9.91559,47,2025-08-26 02:05:00+00:00,2025-08-26 12:35:00+00:00,0.21097,0.213504174,0.001,0.001,630,0.00999001,0.0991559,roi,0.18988,-0.1,0.18988,-0.1,0.20864,0.21491,FALSE,,1,FALSE,2025/8/26 2:05,2025/8/26 12:35,0,47,0.21097,9.92550559,2025/8/26 2:05,47,0.213504174,10.04473088,2025/8/26 12:35,roi
Strategy001,DOGE/USDT,9.87482,9.87482,46,2025-08-26 12:40:00+00:00,2025-08-26 19:15:00+00:00,0.21467,0.217248619,0.001,0.001,395,0.00999001,0.0987482,roi,0.19321,-0.1,0.19321,-0.1,0.20988,0.21763,FALSE,,1,FALSE,2025/8/26 12:40,2025/8/26 19:15,0,46,0.21467,9.88469482,2025/8/26 12:40,46,0.217248619,10.00342989,2025/8/26 19:15,roi
Strategy001,DOGE/USDT,9.864,9.864,45,2025-08-27 02:25:00+00:00,2025-08-27 03:55:00+00:00,0.2192,0.221833033,0.001,0.001,90,0.00999001,0.09864,roi,0.19728,-0.1,0.19728,-0.1,0.21799,0.22201,FALSE,,1,FALSE,2025/8/27 2:25,2025/8/27 3:55,0,45,0.2192,9.873864,2025/8/27 2:25,45,0.221833033,9.992468973,2025/8/27 3:55,roi
Strategy001,DOGE/USDT,9.9351,9.9351,45,2025-08-27 09:40:00+00:00,2025-08-27 21:05:00+00:00,0.22078,0.223432012,0.001,0.001,685,0.00999001,0.099351,roi,0.19871,-0.1,0.19871,-0.1,0.21781,0.22388,FALSE,,1,FALSE,2025/8/27 9:40,2025/8/27 21:05,0,45,0.22078,9.9450351,2025/8/27 9:40,45,0.223432012,10.06449498,2025/8/27 21:05,roi
Strategy001,DOGE/USDT,9.94635,9.94635,45,2025-08-28 01:45:00+00:00,2025-08-28 04:45:00+00:00,0.22103,0.223685015,0.001,0.001,180,0.00999001,0.0994635,roi,0.19893,-0.1,0.19893,-0.1,0.21968,0.2238,FALSE,,1,FALSE,2025/8/28 1:45,2025/8/28 4:45,0,45,0.22103,9.95629635,2025/8/28 1:45,45,0.223685015,10.0758915,2025/8/28 4:45,roi
